name,species_name,reference_accessions
Human cosavirus,Human cosavirus,NC_023984.1
Human cosavirus B,Cosavirus bepakis,NC_012801.1
Human cyclovirus VS5700009,Cyclovirus munthu,NC_021568.1
Human DNA virus,Human DNA virus,NC_040309.1
Human endogenous retrovirus K113,Human endogenous retrovirus K,NC_022518.1
Human erythrovirus V9,Human erythrovirus V9,NC_004295.1
Human fecal virus Jorvi2,Human fecal virus Jorvi2,NC_035212.1
Human fecal virus Jorvi3,Human fecal virus Jorvi3,NC_035213.1
Human fecal virus Jorvi4,Human fecal virus Jorvi4,NC_035211.1
Human feces pecovirus,Human feces pecovirus,NC_040306.1
Human feces smacovirus 2,Porprismacovirus humas1,NC_039070.1
Human feces smacovirus 3,Porprismacovirus humas3,NC_035474.1;NC_075341.1
Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NC_007605.1
Human gammaherpesvirus 8,Rhadinovirus humangamma8,NC_009333.1
Human gemycircularvirus GeTz1,Gemykibivirus humas4,NC_038497.1
Human genital-associated circular DNA virus-1,Gemygorvirus sewopo1,NC_026817.1
Human hepegivirus,Pegivirus columbiaense,NC_038436.1
Human herpesvirus 4 type 2,Lymphocryptovirus humangamma4,NC_009334.1
Human immunodeficiency virus 1,Lentivirus humimdef1,NC_001802.1
Human immunodeficiency virus 2,Lentivirus humimdef2,NC_001722.1
Human lung-associated vientovirus FB,Torbevirus viento,NC_055523.1
Human mastadenovirus A,Mastadenovirus adami,NC_001460.1
Human mastadenovirus B,Mastadenovirus blackbeardi,NC_011202.1;NC_011203.1
Human mastadenovirus C,Mastadenovirus caesari,NC_001405.1
Human mastadenovirus D,Mastadenovirus dominans,NC_010956.1
Human mastadenovirus F,Mastadenovirus faecale,NC_001454.1
Human papillomavirus,Human papillomavirus,NC_027779.1
Human papillomavirus 116,Gammapapillomavirus 9,NC_013035.1
Human papillomavirus 121,Gammapapillomavirus 10,NC_014185.1
Human papillomavirus 126,Gammapapillomavirus 11,NC_016157.1
Human papillomavirus 127,Gammapapillomavirus 12,NC_014469.1
Human papillomavirus 132,Gammapapillomavirus 12,NC_014955.1
Human papillomavirus 134,Gammapapillomavirus 7,NC_014956.1
Human papillomavirus 135,Gammapapillomavirus 15,NC_017993.1
Human papillomavirus 136,Gammapapillomavirus 11,NC_017994.1
Human papillomavirus 140,Gammapapillomavirus 11,NC_017996.1
Human papillomavirus 154,Gammapapillomavirus 11,NC_021483.1
human papillomavirus 163,Gammapapillomavirus 20,NC_028125.1
human papillomavirus 166,Gammapapillomavirus 19,NC_019023.1
Human papillomavirus 167,Gammapapillomavirus 21,NC_022892.1
Human papillomavirus 172,Gammapapillomavirus 22,NC_038523.1
Human papillomavirus 175,Gammapapillomavirus 23,NC_038524.1
Human papillomavirus 178,Gammapapillomavirus 24,NC_023891.1
Human papillomavirus 179,Gammapapillomavirus 15,NC_022095.1
Human papillomavirus 184,Gammapapillomavirus 25,NC_038914.1
Human papillomavirus 187,Gammapapillomavirus 26,NC_039086.1
Human papillomavirus 201,Gammapapillomavirus 27,NC_027528.1
Human papillomavirus 204,Mupapillomavirus 3,NC_038525.1
Human papillomavirus KC5,Human papillomavirus KC5,NC_026946.1
Human papillomavirus type 128,Gammapapillomavirus 13,NC_014952.1
Human papillomavirus type 129,Gammapapillomavirus 9,NC_014953.1
Human papillomavirus type 131,Gammapapillomavirus 14,NC_014954.1
Human papillomavirus type 137,Gammapapillomavirus 16,NC_017995.1
Human papillomavirus type 144,Gammapapillomavirus 17,NC_017997.1
Human papillomavirus type 156,Gammapapillomavirus 18,NC_033781.1
Human papillomavirus type 161,Gammapapillomavirus 19,NC_038522.1
Human papillomavirus type 85,Human papillomavirus type 85,NC_034616.1
Human parvovirus 4 G1,Tetraparvovirus primate1,NC_007018.1
Human pegivirus 2,Pegivirus columbiaense,NC_027998.2
Human polyomavirus 6,Deltapolyomavirus sextihominis,NC_014406.1
Human polyomavirus 7,Deltapolyomavirus septihominis,NC_014407.1
Human polyomavirus 9,Alphapolyomavirus nonihominis,NC_015150.1
Human PoSCV5-like circular virus,Human PoSCV5-like circular virus,NC_075996.1
Human smacovirus 1,Human smacovirus 1,NC_026252.1
Human stool-associated circular virus NG13,Circovirus eniyan,NC_038392.1
Human T-lymphotropic virus 4,Human T-lymphotropic virus 4,NC_011800.1
Husavirus sp.,Husavirus sp.,NC_032480.1
IAS virus,Paundivirus hollandii,NC_049978.1
Ilesha virus,Orthobunyavirus ileshaense,NC_043585.1;NC_043586.1;NC_043587.1
Indian encephalitis associated cyclovirus,Cyclovirus manusyan,NC_032682.2
Influenza A virus (A/California/07/2009(H1N1)),Alphainfluenzavirus influenzae,NC_026431.1;NC_026432.1;NC_026433.1;NC_026434.1;NC_026435.1;NC_026436.1;NC_026437.1;NC_026438.1
Influenza A virus (A/Korea/426/1968(H2N2)),Alphainfluenzavirus influenzae,NC_007380.1;NC_007381.1;NC_007382.1
Influenza A virus (A/New York/392/2004(H3N2)),Alphainfluenzavirus influenzae,NC_007366.1;NC_007367.1;NC_007368.1;NC_007369.1;NC_007370.1;NC_007371.1;NC_007372.1;NC_007373.1
